MLS,Location, Price ,Bedrooms,Bathrooms, Size (m2) ,Status,Status_Code,,,,,,,,,,,
146310,Santa Maria-Orcutt,"$129,900.00 ",3,1,96.8,Short Sale,0,,,,,,,,,,,
146320,Los Osos,"$375,000.00 ",3,3,141.1,Short Sale,0,,,,,,,,,,,
146423,Atascadero,"$599,000.00 ",3,2,257.7,Short Sale,0,,,,,,,,,,,
146496,Paso Robles,"$235,000.00 ",3,2,124.5,Short Sale,0,,,,,,,,,,,
146537,Santa Maria-Orcutt,"$255,900.00 ",3,2,133.8,Foreclosure,1,,,,,,,,,,,
146544,Santa Maria-Orcutt,"$148,900.00 ",5,2,98.8,Short Sale,0,,,,,,,,,,,
146581,Arroyo Grande,"$749,000.00 ",3,2,199.3,Short Sale,0,,,,,,,,,,,
146597,Santa Maria-Orcutt,"$189,900.00 ",3,2,136.8,Foreclosure,1,,,,,,,,,,,
146649,Paso Robles,"$183,000.00 ",3,1,82.5,Short Sale,0,,,,,,,,,,,
146667,Santa Maria-Orcutt,"$232,600.00 ",3,3,147,Short Sale,0,,,,,,,,,,,
146773,Cambria,"$520,000.00 ",3,2,156.1,Short Sale,0,,,,,,,,,,,
146790,Solvang,"$355,000.00 ",3,3,158.1,Foreclosure,1,,,,,,,,,,,
146797,Pismo Beach,"$275,000.00 ",0,1,37,Short Sale,0,,,,,,,,,,,
146888,Santa Maria-Orcutt,"$225,000.00 ",4,3,180.2,Short Sale,0,,,,,,,,,,,
146986,Santa Maria-Orcutt,"$161,900.00 ",3,2,111.5,Short Sale,0,,,,,,,,,,,
147094,Santa Maria-Orcutt,"$249,999.00 ",3,3,187,Short Sale,0,,,,,,,,,,,
147167,Santa Maria-Orcutt,"$208,000.00 ",2,1,117.7,Short Sale,0,,,,,,,,,,,
147214,Guadalupe,"$135,000.00 ",3,1,102.2,Short Sale,0,,,,,,,,,,,
147216,San Luis Obispo,"$385,000.00 ",2,3,129,Short Sale,0,,,,,,,,,,,
147240,Atascadero,"$750,000.00 ",4,4,314.7,Foreclosure,1,,,,,,,,,,,
147241,Atascadero,"$810,000.00 ",4,3,307,Foreclosure,1,,,,,,,,,,,
147249,Atascadero,"$890,000.00 ",4,5,392.9,Foreclosure,1,,,,,,,,,,,
147253,Atascadero,"$895,000.00 ",4,3,341.5,Foreclosure,1,,,,,,,,,,,
147374,San Miguel,"$229,900.00 ",3,2,135.5,Short Sale,0,,,,,,,,,,,
147440,Grover Beach,"$240,000.00 ",2,2,94.8,Short Sale,0,,,,,,,,,,,
147450,Atascadero,"$429,000.00 ",4,3,233.5,Foreclosure,1,,,,,,,,,,,
147570,Santa Maria-Orcutt,"$399,000.00 ",4,3,260.1,Short Sale,0,,,,,,,,,,,
147586,Santa Maria-Orcutt,"$385,000.00 ",3,2,185.8,Short Sale,0,,,,,,,,,,,
147603,Paso Robles,"$294,900.00 ",3,2,122.3,Foreclosure,1,,,,,,,,,,,
147611,Paso Robles,"$399,000.00 ",3,2,113.3,Short Sale,0,,,,,,,,,,,
147620,Santa Maria-Orcutt,"$269,000.00 ",3,3,165.4,Short Sale,0,,,,,,,,,,,
147654,Cambria,"$449,000.00 ",3,3,197,Short Sale,0,,,,,,,,,,,
147761,Arroyo Grande,"$555,900.00 ",5,3,273.8,Foreclosure,1,,,,,,,,,,,
147767,Paso Robles,"$319,900.00 ",4,2,198.3,Foreclosure,1,,,,,,,,,,,
147819,Cambria,"$332,000.00 ",4,4,173.9,Foreclosure,1,,,,,,,,,,,
147876,Bradley,"$499,000.00 ",4,5,315.9,Short Sale,0,,,,,,,,,,,
147948,Paso Robles,"$432,000.00 ",4,3,289.2,Short Sale,0,,,,,,,,,,,
148070,Arroyo Grande,"$199,000.00 ",2,1,76.8,Short Sale,0,,,,,,,,,,,
148168,Santa Maria-Orcutt,"$29,000.00 ",2,2,139.4,Foreclosure,1,,,,,,,,,,,
148195,Atascadero,"$299,000.00 ",3,2,118,Short Sale,0,,,,,,,,,,,
148289,Santa Maria-Orcutt,"$259,000.00 ",4,3,172.5,Short Sale,0,,,,,,,,,,,
148318,Los Osos,"$99,000.00 ",1,1,50,Short Sale,0,,,,,,,,,,,
148324,Avila Beach,"$779,000.00 ",2,2,113.6,Foreclosure,1,,,,,,,,,,,
148325,Avila Beach,"$839,000.00 ",2,2,113.6,Foreclosure,1,,,,,,,,,,,
148384,Santa Ynez,"$525,000.00 ",3,2,162.2,Short Sale,0,,,,,,,,,,,
148399,Santa Ynez,"$795,000.00 ",3,2,194.4,Short Sale,0,,,,,,,,,,,
148472,Santa Maria-Orcutt,"$337,000.00 ",4,2,185.8,Short Sale,0,,,,,,,,,,,
148519,Oceano,"$164,900.00 ",2,1,69.7,Foreclosure,1,,,,,,,,,,,
148622,San Luis Obispo,"$449,000.00 ",2,3,153.3,Short Sale,0,,,,,,,,,,,
148624,Guadalupe,"$94,000.00 ",2,2,74,Foreclosure,1,,,,,,,,,,,
148638,Pismo Beach,"$899,000.00 ",3,3,210.5,Short Sale,0,,,,,,,,,,,
148736,Santa Maria-Orcutt,"$180,000.00 ",3,2,118.9,Short Sale,0,,,,,,,,,,,
148744,Bradley,"$194,900.00 ",3,2,101.5,Foreclosure,1,,,,,,,,,,,
148757,Los Osos,"$350,000.00 ",3,2,140.2,Short Sale,0,,,,,,,,,,,
148806,King City,"$167,770.00 ",3,3,166.6,Foreclosure,1,,,,,,,,,,,
148842,Creston,"$309,900.00 ",3,2,158.4,Foreclosure,1,,,,,,,,,,,
148881,Templeton,"$479,000.00 ",2,3,195.1,Short Sale,0,,,,,,,,,,,
148961,Los Alamos,"$350,000.00 ",3,2,147,Short Sale,0,,,,,,,,,,,
149001,Grover Beach,"$350,000.00 ",3,2,136.6,Short Sale,0,,,,,,,,,,,
149024,Santa Maria-Orcutt,"$275,000.00 ",3,2,132.3,Short Sale,0,,,,,,,,,,,
149039,Paso Robles,"$379,000.00 ",4,3,211.5,Short Sale,0,,,,,,,,,,,
149069,King City,"$155,900.00 ",4,2,312.9,Foreclosure,1,,,,,,,,,,,
149105,San Miguel,"$229,000.00 ",3,2,135.5,Short Sale,0,,,,,,,,,,,
149193,Pismo Beach,"$604,995.00 ",2,3,162.5,Foreclosure,1,,,,,,,,,,,
149207,Pismo Beach,"$599,000.00 ",3,3,185.4,Short Sale,0,,,,,,,,,,,
149230,Morro Bay,"$359,000.00 ",3,2,93.6,Short Sale,0,,,,,,,,,,,
149275,Lompoc,"$199,000.00 ",4,2,141.9,Foreclosure,1,,,,,,,,,,,
149287,Paso Robles,"$164,900.00 ",3,2,133.8,Short Sale,0,,,,,,,,,,,
149307,Coalinga,"$179,000.00 ",3,2,168.6,Short Sale,0,,,,,,,,,,,
149317,Paso Robles,"$370,000.00 ",4,2,191.8,Short Sale,0,,,,,,,,,,,
149324,Santa Ynez,"$999,000.00 ",5,4,223.2,Short Sale,0,,,,,,,,,,,
149369,Paso Robles,"$365,000.00 ",3,3,198.4,Short Sale,0,,,,,,,,,,,
149401,San Miguel,"$345,000.00 ",3,2,139.2,Short Sale,0,,,,,,,,,,,
149412,Paso Robles,"$299,000.00 ",2,1,99.2,Short Sale,0,,,,,,,,,,,
149439,Pismo Beach,"$519,500.00 ",2,1,58.9,Short Sale,0,,,,,,,,,,,
149470,Buellton,"$645,000.00 ",4,4,278.7,Short Sale,0,,,,,,,,,,,
149482,Santa Maria-Orcutt,"$242,500.00 ",3,2,113.2,Foreclosure,1,,,,,,,,,,,
149514,Santa Maria-Orcutt,"$259,900.00 ",3,3,120.8,Short Sale,0,,,,,,,,,,,
149604,Santa Maria-Orcutt,"$310,000.00 ",4,3,187.1,Short Sale,0,,,,,,,,,,,
149612,Atascadero,"$450,000.00 ",2,2,135.9,Short Sale,0,,,,,,,,,,,
149615,Santa Maria-Orcutt,"$220,000.00 ",2,2,143.2,Short Sale,0,,,,,,,,,,,
149616,San Luis Obispo,"$585,000.00 ",3,2,117.8,Short Sale,0,,,,,,,,,,,
149633,Santa Maria-Orcutt,"$324,000.00 ",5,4,223,Short Sale,0,,,,,,,,,,,
149666,Cambria,"$375,000.00 ",1,1,51.2,Short Sale,0,,,,,,,,,,,
149700,Paso Robles,"$329,000.00 ",3,2,131.9,Short Sale,0,,,,,,,,,,,
149752,Paso Robles,"$599,900.00 ",5,3,256.8,Foreclosure,1,,,,,,,,,,,
149791,Santa Maria-Orcutt,"$74,900.00 ",2,2,94.2,Short Sale,0,,,,,,,,,,,
149797,Los Osos,"$285,000.00 ",3,2,104.1,Short Sale,0,,,,,,,,,,,
149813,Santa Maria-Orcutt,"$751,900.00 ",3,3,315.9,Foreclosure,1,,,,,,,,,,,
149829,Santa Maria-Orcutt,"$295,000.00 ",3,2,128.8,Short Sale,0,,,,,,,,,,,
149839,Coalinga,"$170,000.00 ",3,2,122.6,Short Sale,0,,,,,,,,,,,
149841,Santa Maria-Orcutt,"$197,000.00 ",3,2,127.8,Short Sale,0,,,,,,,,,,,
149860,Oceano,"$1,250,000.00 ",3,3,240.2,Short Sale,0,,,,,,,,,,,
149864,Paso Robles,"$249,000.00 ",3,2,154.4,Short Sale,0,,,,,,,,,,,
149869,Nipomo,"$179,000.00 ",2,2,96,Short Sale,0,,,,,,,,,,,
149877,Santa Maria-Orcutt,"$132,000.00 ",3,1,97.5,Short Sale,0,,,,,,,,,,,
149882,Lockwood,"$425,000.00 ",3,2,139.4,Short Sale,0,,,,,,,,,,,
149890,Santa Maria-Orcutt,"$290,000.00 ",5,3,232.3,Short Sale,0,,,,,,,,,,,
149909,Los Osos,"$150,000.00 ",2,2,83.2,Short Sale,0,,,,,,,,,,,
149911,Los Osos,"$150,000.00 ",2,2,83.2,Short Sale,0,,,,,,,,,,,
149914,Los Osos,"$150,000.00 ",2,2,83.2,Short Sale,0,,,,,,,,,,,
149915,Los Osos,"$150,000.00 ",2,2,83.2,Short Sale,0,,,,,,,,,,,
149916,Los Osos,"$150,000.00 ",2,2,83.2,Short Sale,0,,,,,,,,,,,
149917,Los Osos,"$205,000.00 ",2,2,128.9,Short Sale,0,,,,,,,,,,,
149919,Atascadero,"$599,000.00 ",4,3,289.9,Short Sale,0,,,,,,,,,,,
149922,Paso Robles,"$269,000.00 ",3,3,125.6,Short Sale,0,,,,,,,,,,,
149948,Santa Maria-Orcutt,"$249,000.00 ",4,3,182.4,Short Sale,0,,,,,,,,,,,
149956,Santa Maria-Orcutt,"$235,000.00 ",3,3,143.2,Short Sale,0,,,,,,,,,,,
149961,Grover Beach,"$469,000.00 ",4,3,227.5,Foreclosure,1,,,,,,,,,,,
149989,Nipomo,"$159,000.00 ",4,2,154.2,Short Sale,0,,,,,,,,,,,
149994,King City,"$69,900.00 ",3,1,87,Foreclosure,1,,,,,,,,,,,
150143,Arroyo Grande,"$1,499,000.00 ",5,7,631.7,Short Sale,0,,,,,,,,,,,
150194,Atascadero,"$239,000.00 ",3,2,94.9,Short Sale,0,,,,,,,,,,,
150199,Atascadero,"$399,500.00 ",3,2,154.7,Short Sale,0,,,,,,,,,,,
150240,Paso Robles,"$299,900.00 ",3,2,112.3,Foreclosure,1,,,,,,,,,,,
150256,Lompoc,"$275,000.00 ",3,2,157.9,Short Sale,0,,,,,,,,,,,
150262,Morro Bay,"$395,000.00 ",4,2,161.3,Short Sale,0,,,,,,,,,,,
150283,Santa Maria-Orcutt,"$105,000.00 ",1,1,67.9,Short Sale,0,,,,,,,,,,,
150290,Santa Maria-Orcutt,"$179,999.00 ",3,2,100.9,Short Sale,0,,,,,,,,,,,
150294,Santa Maria-Orcutt,"$219,000.00 ",3,2,105.1,Short Sale,0,,,,,,,,,,,
150308,Solvang,"$325,000.00 ",3,3,139.4,Short Sale,0,,,,,,,,,,,
150317,Atascadero,"$829,900.00 ",4,3,355.5,Short Sale,0,,,,,,,,,,,
150335,Santa Maria-Orcutt,"$165,000.00 ",2,1,102.2,Short Sale,0,,,,,,,,,,,
150360,Santa Maria-Orcutt,"$179,000.00 ",3,2,129.9,Short Sale,0,,,,,,,,,,,
150390,Paso Robles,"$279,000.00 ",3,2,128.3,Short Sale,0,,,,,,,,,,,
150392,Atascadero,"$820,000.00 ",4,4,314.7,Foreclosure,1,,,,,,,,,,,
150394,Paso Robles,"$399,000.00 ",2,1,116.1,Short Sale,0,,,,,,,,,,,
150407,San Miguel,"$164,900.00 ",3,1,89.7,Short Sale,0,,,,,,,,,,,
150424,Santa Maria-Orcutt,"$235,000.00 ",4,2,172.8,Short Sale,0,,,,,,,,,,,
150439,Arroyo Grande,"$1,900,000.00 ",4,5,502.7,Short Sale,0,,,,,,,,,,,
150455,Nipomo,"$289,000.00 ",3,2,127,Short Sale,0,,,,,,,,,,,
150470,Paso Robles,"$355,000.00 ",3,2,152.4,Short Sale,0,,,,,,,,,,,
150477,Santa Maria-Orcutt,"$199,000.00 ",3,2,117.9,Short Sale,0,,,,,,,,,,,
150482,Santa Maria-Orcutt,"$209,000.00 ",3,2,118.5,Short Sale,0,,,,,,,,,,,
150493,Lompoc,"$186,900.00 ",3,1,84.7,Foreclosure,1,,,,,,,,,,,
150501,Santa Maria-Orcutt,"$240,000.00 ",4,2,135.6,Short Sale,0,,,,,,,,,,,
150513,Nipomo,"$515,000.00 ",2,2,185.8,Short Sale,0,,,,,,,,,,,
150543,Santa Maria-Orcutt,"$215,000.00 ",4,2,162.6,Short Sale,0,,,,,,,,,,,
150556,Santa Maria-Orcutt,"$399,900.00 ",4,4,283.4,Short Sale,0,,,,,,,,,,,
150571,Paso Robles,"$369,000.00 ",4,3,220.3,Short Sale,0,,,,,,,,,,,
150572,Paso Robles,"$250,000.00 ",2,2,120,Short Sale,0,,,,,,,,,,,
150588,Paso Robles,"$259,000.00 ",3,2,152.4,Short Sale,0,,,,,,,,,,,
150611,Santa Maria-Orcutt,"$180,000.00 ",2,2,100.5,Short Sale,0,,,,,,,,,,,
150636,Solvang,"$399,900.00 ",3,2,141.4,Short Sale,0,,,,,,,,,,,
150638,Arroyo Grande,"$385,000.00 ",3,2,142.6,Short Sale,0,,,,,,,,,,,
150669,Santa Maria-Orcutt,"$154,000.00 ",2,2,102.2,Short Sale,0,,,,,,,,,,,
150732,San Luis Obispo,"$254,900.00 ",2,2,89.7,Foreclosure,1,,,,,,,,,,,
150744,Paso Robles,"$315,000.00 ",4,2,153.6,Short Sale,0,,,,,,,,,,,
150746,Santa Maria-Orcutt,"$437,500.00 ",3,3,234.4,Short Sale,0,,,,,,,,,,,
150751,Santa Maria-Orcutt,"$299,900.00 ",3,3,233.3,Short Sale,0,,,,,,,,,,,
150773,Arroyo Grande,"$399,000.00 ",3,3,164.6,Short Sale,0,,,,,,,,,,,
150823,Paso Robles,"$330,000.00 ",3,3,175.5,Short Sale,0,,,,,,,,,,,
150827,Arroyo Grande,"$279,000.00 ",2,2,81.8,Short Sale,0,,,,,,,,,,,
150844,Santa Maria-Orcutt,"$248,000.00 ",3,2,130.1,Short Sale,0,,,,,,,,,,,
150857,Santa Maria-Orcutt,"$209,000.00 ",3,3,138.8,Short Sale,0,,,,,,,,,,,
150879,Los Osos,"$729,000.00 ",3,2,171.3,Short Sale,0,,,,,,,,,,,
150903,Atascadero,"$454,500.00 ",4,3,176.5,Foreclosure,1,,,,,,,,,,,
150929,Paso Robles,"$249,000.00 ",3,2,109.3,Short Sale,0,,,,,,,,,,,
150949,Nipomo,"$1,700,000.00 ",3,5,414.6,Short Sale,0,,,,,,,,,,,
150966,Grover Beach,"$349,000.00 ",3,2,151.9,Short Sale,0,,,,,,,,,,,
150969,Grover Beach,"$575,000.00 ",3,3,194.6,Short Sale,0,,,,,,,,,,,
150980,Santa Maria-Orcutt,"$185,000.00 ",3,2,120.8,Short Sale,0,,,,,,,,,,,
150981,Santa Maria-Orcutt,"$165,000.00 ",3,2,111.5,Short Sale,0,,,,,,,,,,,
150987,Morro Bay,"$311,900.00 ",0,1,84.5,Foreclosure,1,,,,,,,,,,,
151000,Santa Maria-Orcutt,"$175,000.00 ",3,2,148.6,Short Sale,0,,,,,,,,,,,
151005,Lompoc,"$180,000.00 ",4,2,123.7,Short Sale,0,,,,,,,,,,,
151009,Santa Maria-Orcutt,"$78,000.00 ",2,2,156.1,Short Sale,0,,,,,,,,,,,
151021,Oceano,"$142,900.00 ",2,1,122,Foreclosure,1,,,,,,,,,,,
151071,Atascadero,"$850,000.00 ",4,4,347.8,Foreclosure,1,,,,,,,,,,,
151078,Paso Robles,"$389,000.00 ",3,2,185.6,Short Sale,0,,,,,,,,,,,
151080,Santa Maria-Orcutt,"$641,900.00 ",3,3,252.1,Foreclosure,1,,,,,,,,,,,
151083,Templeton,"$305,000.00 ",4,2,166.9,Short Sale,0,,,,,,,,,,,
151084,Paso Robles,"$260,000.00 ",3,3,156.7,Short Sale,0,,,,,,,,,,,
151085,Paso Robles,"$320,000.00 ",3,2,154.5,Short Sale,0,,,,,,,,,,,
151097,Atascadero,"$199,000.00 ",2,1,73.6,Short Sale,0,,,,,,,,,,,
151107,Santa Maria-Orcutt,"$299,000.00 ",2,2,131,Short Sale,0,,,,,,,,,,,
151114,Buellton,"$289,000.00 ",2,2,100.8,Short Sale,0,,,,,,,,,,,
151126,Santa Maria-Orcutt,"$229,900.00 ",3,3,176.5,Short Sale,0,,,,,,,,,,,
151138,Atascadero,"$865,000.00 ",4,3,307,Foreclosure,1,,,,,,,,,,,
151186,Atascadero,"$900,000.00 ",4,4,368.1,Short Sale,0,,,,,,,,,,,
151187,Atascadero,"$199,000.00 ",2,3,117.1,Short Sale,0,,,,,,,,,,,
151213,Santa Maria-Orcutt,"$160,000.00 ",2,3,111.5,Short Sale,0,,,,,,,,,,,
151227,Santa Maria-Orcutt,"$299,000.00 ",3,3,223,Short Sale,0,,,,,,,,,,,
151228,Oceano,"$300,000.00 ",3,3,117.5,Short Sale,0,,,,,,,,,,,
151232,Santa Maria-Orcutt,"$270,000.00 ",4,2,135.6,Short Sale,0,,,,,,,,,,,
151246,Nipomo,"$490,000.00 ",3,3,176,Short Sale,0,,,,,,,,,,,
151249,Santa Maria-Orcutt,"$295,000.00 ",3,3,167.2,Short Sale,0,,,,,,,,,,,
151257,Paso Robles,"$225,000.00 ",3,2,144,Short Sale,0,,,,,,,,,,,
151277,Atascadero,"$324,900.00 ",2,2,132.5,Short Sale,0,,,,,,,,,,,
151293,Santa Maria-Orcutt,"$165,000.00 ",3,2,103.1,Short Sale,0,,,,,,,,,,,
151296,Santa Maria-Orcutt,"$157,900.00 ",3,2,99.9,Short Sale,0,,,,,,,,,,,
151304,Nipomo,"$299,000.00 ",3,2,163.1,Short Sale,0,,,,,,,,,,,
151308,Paso Robles,"$369,000.00 ",3,3,199.7,Short Sale,0,,,,,,,,,,,
151373,Santa Maria-Orcutt,"$233,000.00 ",4,2,153.3,Short Sale,0,,,,,,,,,,,
