ID,Gender,Gender_Code,Age,Shool_Year,School_Year_Code,Transfer,Transfer_Code,Student_Athlete,Student_Athlete_Code,Wealth_SR, GPA ,ACT, Subjective_Well_Being , Positive_Affect , Negative_Affect , Relationship_Confidence , Exercise , Academic_Motivation_Intrinsic , Academic_Motivation_Extrinsic , Academic_Motivation_Amotivation , Intelligence_Value ,Raven_Score
21416834,Female,1,21,Junior,3,No,0,non-athlete,0,4, 3.9 ,30, 3.50 , 2.80 , 2.40 , 2.00 , 17.00 , 1.67 , 3.67 , 2.00 , 3.33 ,75.0%
21418517,Male,2,19,Sophomore,2,No,0,non-athlete,0,3, 3.0 ,26, 5.25 , 3.90 , 1.60 , 4.00 , 6.00 , 6.17 , 5.17 , 1.00 , 4.00 ,75.0%
21426968,Female,1,18,First-year,1,No,0,non-athlete,0,3, 1.8 ,23, 6.50 , 3.30 , 1.30 , 3.00 , 5.00 , 5.00 , 4.17 , 1.00 , 3.67 ,75.0%
21478908,Female,1,22,Senior,4,Yes,1,non-athlete,0,3, 3.4 ,, 5.25 , 3.40 , 2.20 , 3.29 , 3.50 , 5.17 , 5.83 , 2.50 , 3.67 ,75.0%
21466657,Female,1,52,Post-bac,5,Yes,1,non-athlete,0,4, 3.6 ,, 4.75 , 4.10 , 1.30 , 3.86 , 3.00 , 3.50 , 6.17 , 1.00 , 3.33 ,75.0%
21468106,Female,1,18,First-year,1,No,0,non-athlete,0,5, 3.9 ,31, 6.50 , 3.20 , 1.90 , 3.43 , 3.00 , 4.67 , 6.83 , 2.00 , 3.67 ,75.0%
21468139,Female,1,22,Senior,4,No,0,non-athlete,0,2, 3.3 ,21, 3.25 , 3.30 , 2.80 , 4.57 , -   , 5.50 , 6.50 , 3.00 , 3.67 ,75.0%
21412291,Female,1,19,First-year,1,Yes,1,In season,1,4,,24, 5.75 , 3.70 , 1.50 , 4.00 , 112.00 , 3.83 , 5.83 , 2.00 , 4.00 ,71.4%
21467182,Female,1,20,Junior,3,No,0,Out of season,1,3, 3.4 ,27, 6.50 , 3.90 , 1.40 , 4.86 , 157.00 , 4.00 , 5.17 , 1.50 , 3.00 ,62.5%
21405085,Male,2,20,Sophomore,2,Yes,1,non-athlete,0,3, 3.4 ,22, 6.75 , 4.70 , 1.50 , 5.00 , 125.00 , 2.83 , 5.83 , 1.00 , 3.00 ,62.5%
21466414,Female,1,21,Junior,3,No,0,non-athlete,0,2, 3.0 ,29, 4.50 , 3.80 , 1.70 , 4.71 , 115.00 , 4.17 , 5.33 , 2.00 , 3.67 ,62.5%
21466428,Female,1,21,Senior,4,No,0,Out of season,1,2, 3.5 ,29, 5.50 , 3.30 , 1.80 , 4.00 , 97.00 , 4.50 , 4.33 , 1.00 , 3.67 ,62.5%
21469059,Male,2,27,Post-bac,5,No,0,non-athlete,0,3, 3.8 ,, 6.00 , 3.90 , 4.00 , 3.00 , 67.00 , 6.17 , 5.67 , 1.00 , 3.00 ,62.5%
21442672,Male,2,22,Senior,4,Yes,1,non-athlete,0,2, 3.5 ,26, 4.25 , 3.20 , 3.10 , 3.43 , 61.00 , 2.83 , 4.17 , 5.50 , 3.67 ,62.5%
21466592,Female,1,20,Junior,3,No,0,non-athlete,0,2, 3.8 ,29, 6.25 , 3.60 , 1.30 , 4.29 , 61.00 , 4.17 , 5.50 , 1.00 , 3.67 ,62.5%
21460280,Female,1,18,First-year,1,No,0,non-athlete,0,3, 3.2 ,21, 6.75 , 3.40 , 2.20 , 3.14 , 44.00 , 5.33 , 6.50 , 1.00 , 3.00 ,62.5%
21442069,Male,2,20,Junior,3,No,0,In season,1,3, 3.9 ,26, 4.67 , 4.30 , 2.00 , 3.14 , 38.00 , 5.17 , 6.17 , 1.00 , 3.67 ,62.5%
21396986,Female,1,19,Sophomore,2,No,0,non-athlete,0,3, 4.0 ,23, 4.75 , 3.70 , 3.40 , 3.14 , 36.50 , 7.00 , 7.00 , 1.50 , 3.00 ,62.5%
21422686,Female,1,21,Senior,4,No,0,non-athlete,0,, 3.2 ,24, 6.00 , 4.30 , 2.80 , 3.43 , 33.00 , 5.50 , 3.50 , 1.00 , 4.00 ,62.5%
21449550,Female,1,19,First-year,1,No,0,non-athlete,0,3, 3.0 ,18, 5.75 , 3.60 , 1.80 , 4.86 , 28.00 , 4.00 , 4.67 , 1.50 , 2.67 ,62.5%
21468432,Female,1,20,Sophomore,2,No,0,non-athlete,0,3, 2.9 ,21, 5.25 , 2.90 , 3.30 , 3.71 , 20.00 , 4.50 , 6.83 , 1.00 , 4.00 ,62.5%
21468670,Female,1,21,Junior,3,No,0,non-athlete,0,3, 3.3 ,21, 6.00 , 3.10 , 2.50 , 3.86 , 13.00 , 4.50 , 4.17 , 3.50 , 2.33 ,62.5%
21466606,Male,2,21,Senior,4,No,0,non-athlete,0,4, 3.8 ,27, 6.00 , 3.50 , 3.00 , 5.00 , 2.00 , 3.50 , 4.50 , 1.00 , 4.33 ,62.5%
21471998,Female,1,39,Post-bac,5,No,0,non-athlete,0,2, 3.9 ,23, 5.00 , 2.60 , 2.20 , 4.14 , 1.00 , 6.33 , 6.33 , 1.00 , 3.33 ,62.5%
21468172,Female,1,21,Junior,3,No,0,non-athlete,0,3, 4.0 ,21, 4.75 , 3.80 , 2.80 , 4.14 , -   , 5.33 , 4.17 , 2.00 , 2.33 ,62.5%
21451555,Male,2,20,Junior,3,No,0,non-athlete,0,3, 3.8 ,29, 4.00 , 1.20 , 1.20 , 4.14 , -   , 2.67 , 5.50 , 2.00 , 3.67 ,62.5%
21471361,Female,1,19,First-year,1,No,0,non-athlete,0,3, 2.9 ,21, 6.25 , 4.10 , 1.00 , 4.29 , -   , 7.00 , 7.00 , 1.00 , 5.00 ,62.5%
21489553,Female,1,44,Post-bac,5,Yes,1,non-athlete,0,4, 3.6 ,, 6.00 , 3.30 , 2.90 , 4.00 ,, 6.00 , 5.00 , 1.00 , 3.33 ,62.5%
21475614,Female,1,20,Sophomore,2,No,0,Out of season,1,4, 3.9 ,28, 4.25 , 3.40 , 2.00 , 3.43 ,, 4.83 , 6.17 , 1.00 , 3.33 ,62.5%
21393395,Female,1,20,Junior,3,Yes,1,non-athlete,0,3, 3.5 ,28, 5.75 , 3.10 , 1.30 , 1.71 , 260.00 , 5.00 , 5.33 , 1.00 , 3.00 ,50.0%
21442706,Male,2,22,Senior,4,No,0,In season,1,4, 3.2 ,24, 6.00 , 4.90 , 1.40 , 3.43 , 227.00 , 4.67 , 6.17 , 1.00 , 3.00 ,50.0%
21442045,Male,2,21,Junior,3,No,0,In season,1,2, 2.9 ,22, 4.00 , 2.60 , 2.50 , 3.71 , 216.00 , 4.67 , 6.00 , 3.00 , 3.67 ,50.0%
21473205,Male,2,19,Sophomore,2,No,0,Out of season,1,3, 3.8 ,29, 6.00 , 4.00 , 1.70 , 4.00 , 155.00 , 5.33 , 6.00 , 1.00 , 3.67 ,50.0%
21363617,Male,2,25,Senior,4,Yes,1,Out of season,1,2, 2.7 ,20, 4.50 , 3.30 , 1.40 , 3.71 , 152.00 , 6.50 , 7.00 , 1.00 , 3.00 ,50.0%
21475884,Female,1,25,Senior,4,Yes,1,non-athlete,0,3, 3.5 ,25, 4.50 , 3.80 , 1.90 , 4.43 , 151.00 , 5.00 , 6.17 , 1.00 , 3.00 ,50.0%
21418902,Male,2,25,Post-bac,5,Yes,1,Out of season,1,2, 2.3 ,, 4.50 , 3.30 , 1.70 , 5.00 , 150.00 , 3.00 , 7.00 , 5.00 , 4.00 ,50.0%
21468984,Female,1,21,Junior,3,No,0,non-athlete,0,3, 3.0 ,21, 4.50 , 3.50 , 2.00 , 3.57 , 65.00 , 4.83 , 5.67 , 1.00 , 4.33 ,50.0%
21467298,Female,1,22,Senior,4,No,0,Out of season,1,2, 3.8 ,27, 5.00 , 3.80 , 2.70 , 3.71 , 56.00 , 6.00 , 5.17 , 1.00 , 3.00 ,50.0%
21363679,Male,2,20,Sophomore,2,No,0,non-athlete,0,1, 3.5 ,28, 5.50 , 4.10 , 2.00 , 3.00 , 49.50 , 3.50 , 5.33 , 2.00 , 3.33 ,50.0%
21481743,Female,1,18,First-year,1,No,0,Out of season,1,3, 3.6 ,26, 5.75 , 3.00 , 2.00 , 3.00 , 49.00 , 4.17 , 6.83 , 1.00 , 3.33 ,50.0%
21468737,Male,2,22,Senior,4,No,0,non-athlete,0,2, 3.2 ,26, 2.00 , 2.80 , 2.30 , 3.43 , 41.00 , 3.33 , 6.00 , 4.50 , 3.33 ,50.0%
21442494,Female,1,19,First-year,1,No,0,Out of season,1,3, 3.7 ,27, 5.75 , 2.90 , 2.20 , 3.29 , 38.00 , 4.50 , 6.17 , 1.00 , 3.67 ,50.0%
21467805,Female,1,22,Senior,4,No,0,non-athlete,0,3, 3.8 ,21, 6.50 , 3.60 , 2.00 , 4.43 , 37.00 , 4.50 , 6.50 , 1.00 , 3.67 ,50.0%
21427275,Male,2,22,Senior,4,No,0,non-athlete,0,2, 3.0 ,22, 5.25 , 3.70 , 2.80 , 3.57 , 31.00 , 5.83 , 4.33 , 3.00 , 3.67 ,50.0%
21427440,Female,1,20,Sophomore,2,No,0,non-athlete,0,3, 3.5 ,21, 5.00 , 3.90 , 2.10 , 4.29 , 29.00 , 6.00 , 7.00 , 1.00 , 3.33 ,50.0%
21473133,Female,1,22,Post-bac,5,Yes,1,non-athlete,0,3, 3.5 ,26, 3.75 , 2.80 , 2.30 , 3.29 , 27.00 , 4.17 , 6.67 , 1.00 , 3.00 ,50.0%
21483617,Female,1,20,Sophomore,2,Yes,1,non-athlete,0,3, 3.2 ,29, 6.50 , 2.90 , 2.70 , 5.00 , 14.00 , 6.00 , 6.00 , 1.00 , 3.67 ,50.0%
21466992,Female,1,21,Junior,3,No,0,non-athlete,0,3, 3.7 ,26, 4.50 , 3.30 , 3.20 , 1.00 , 7.00 , 5.67 , 6.17 , 4.50 , 4.00 ,50.0%
21467119,Female,1,21,Junior,3,No,0,non-athlete,0,3, 2.9 ,22, 3.00 , 3.10 , 3.50 , 3.57 , 7.00 , 5.50 , 6.50 , 4.50 , 3.00 ,50.0%
21449529,Female,1,18,First-year,1,No,0,non-athlete,0,3, 2.9 ,20, 3.75 , 2.90 , 2.80 , 3.43 , 7.00 , 4.17 , 6.00 , 2.50 , 3.67 ,50.0%
21489051,Female,1,21,Senior,4,No,0,non-athlete,0,3, 3.2 ,, 6.00 , 2.50 , 3.10 , 3.86 , 5.00 , 4.67 , 6.33 , 1.00 , 3.67 ,50.0%
21466374,Female,1,21,Junior,3,No,0,non-athlete,0,3, 3.3 ,25, 4.50 , 2.30 , 1.40 , 4.57 , 4.00 , 4.50 , 6.67 , 1.00 , 3.67 ,50.0%
21466865,Female,1,31,Post-bac,5,Yes,1,non-athlete,0,5, 3.8 ,28, 4.75 , 3.50 , 2.40 , 3.00 , 3.00 , 3.67 , 2.50 , 2.50 , 3.33 ,50.0%
21441574,Female,1,21,Junior,3,No,0,non-athlete,0,3, 3.9 ,26, 6.00 , 3.20 , 3.00 , 2.29 , 3.00 , 6.33 , 5.17 , 1.00 , 3.33 ,50.0%
21421156,Female,1,19,Sophomore,2,No,0,non-athlete,0,3, 4.0 ,32, 6.75 , 3.67 , 1.70 , 4.43 , 3.00 , 4.33 , 6.67 , 1.00 , 3.00 ,50.0%
21475882,Female,1,,Post-bac,5,,,non-athlete,0,1,,, 3.00 , 2.90 , 3.80 , 4.86 , 1.50 , 4.67 , 6.00 , 1.00 , 3.33 ,50.0%
21467711,Female,1,21,Junior,3,No,0,non-athlete,0,4, 3.4 ,26, 5.50 , 4.00 , 1.60 , 4.00 , 1.00 , 6.67 , 6.33 , 1.00 , 3.67 ,50.0%
21467864,Female,1,21,Junior,3,No,0,non-athlete,0,3, 3.5 ,18, 2.25 , 1.60 , 2.30 , 3.29 , 1.00 , 3.33 , 6.83 , 2.50 , 4.00 ,50.0%
21482282,Male,2,59,Post-bac,5,Yes,1,non-athlete,0,3, 3.5 ,, 3.75 , 4.40 , 1.60 , 2.83 , -   , 4.83 , 3.50 , 1.00 , 3.00 ,50.0%
21466849,Female,1,23,Sophomore,2,Yes,1,non-athlete,0,2, 2.7 ,19, 3.75 , 3.40 , 3.30 , 4.14 , -   , 4.83 , 7.00 , 1.00 , 3.67 ,50.0%
21483506,Female,1,21,Junior,3,No,0,non-athlete,0,3, 3.5 ,28, 5.50 , 3.10 , 2.60 , 2.00 , -   , 3.67 , 4.67 , 1.50 , 3.00 ,50.0%
21495506,Female,1,21,Senior,4,No,0,non-athlete,0,5, 3.7 ,31, 6.00 , 4.00 , 1.40 , 4.43 , -   , 6.00 , 5.00 , 4.00 , 3.67 ,50.0%
21483764,Female,1,20,Sophomore,2,No,0,non-athlete,0,3, 3.8 ,27, 2.50 , 1.60 , 2.70 , 4.29 , -   , 4.17 , 4.50 , 3.50 , 3.33 ,50.0%
21468528,Male,2,24,Sophomore,2,No,0,non-athlete,0,2,,, 3.00 , 1.90 , 2.60 , 1.71 ,, 3.17 , 4.50 , 1.00 , 3.67 ,50.0%
21466331,Female,1,21,Junior,3,No,0,non-athlete,0,4, 3.3 ,17, 6.25 , 4.70 , 4.60 , 2.86 ,, 6.00 , 6.00 , 4.00 , 3.00 ,50.0%
21423025,Male,2,20,Sophomore,2,Yes,1,Out of season,1,4, 3.5 ,25, 6.00 , 4.70 , 2.10 , 4.86 ,, 4.67 , 6.33 , 1.00 , 3.33 ,50.0%
21449545,Male,2,20,Sophomore,2,No,0,non-athlete,0,2, 3.3 ,26, 3.25 , 3.10 , 1.90 , 3.14 ,, 3.67 , 4.33 , 5.00 , 3.67 ,50.0%
21477004,Male,2,21,Senior,4,No,0,non-athlete,0,4, 3.2 ,24, 5.25 , 3.20 , 4.20 , 2.57 , 12.00 , 6.50 , 5.67 , 3.50 , 3.33 ,42.9%
21479232,Female,1,20,Junior,3,No,0,non-athlete,0,3, 3.9 ,, 3.25 , 3.00 , 3.80 , 2.43 , 3.00 , 4.50 , 3.33 , 5.00 , 3.00 ,42.9%
21446469,Female,1,20,Sophomore,2,No,0,Out of season,1,3, 3.4 ,26, 5.25 , 4.90 , 3.00 , 3.29 , 295.00 , 4.33 , 6.17 , 7.00 , 4.00 ,37.5%
21481009,Female,1,21,First-year,1,Yes,1,non-athlete,0,4, 3.0 ,, 6.00 , 4.50 , 2.10 ,, 265.00 , 5.17 , 6.33 , 1.00 , 3.00 ,37.5%
21363755,Male,2,18,Sophomore,2,No,0,non-athlete,0,4, 3.0 ,23, 5.00 , 3.20 , 1.10 , 2.43 , 223.00 , 6.17 , 5.83 , 1.00 , 3.00 ,37.5%
21449567,Female,1,20,First-year,1,No,0,non-athlete,0,3, 4.0 ,, 3.50 , 3.20 , 2.70 , 3.29 , 182.00 , 4.33 , 5.17 , 3.00 , 3.67 ,37.5%
21467739,Male,2,20,Junior,3,No,0,Out of season,1,3, 3.3 ,29, 5.75 , 3.50 , 2.70 , 3.71 , 153.00 , 4.67 , 4.83 , 1.50 , 4.00 ,37.5%
21449542,Female,1,18,First-year,1,No,0,non-athlete,0,3, 3.4 ,24, 5.75 , 3.20 , 2.60 , 3.29 , 62.00 , 4.50 , 4.50 , 4.50 , 3.33 ,37.5%
21442153,Male,2,20,Sophomore,2,No,0,non-athlete,0,2, 2.5 ,28, 6.50 , 3.40 , 2.00 , 4.86 , 61.00 , 2.17 , 6.50 , 1.00 , 4.33 ,37.5%
21394133,Male,2,19,Sophomore,2,No,0,non-athlete,0,2, 3.5 ,22, 5.50 , 4.50 , 1.60 , 2.29 , 56.50 , 4.83 , 4.00 , 1.00 , 4.00 ,37.5%
21464473,Female,1,19,Sophomore,2,No,0,non-athlete,0,2, 3.9 ,28, 6.00 , 4.60 , 1.60 , 4.57 , 56.00 , 6.83 , 6.33 , 1.00 , 3.67 ,37.5%
21461189,Female,1,19,Sophomore,2,No,0,non-athlete,0,4, 3.5 ,28, 5.75 , 3.20 , 2.00 , 3.57 , 54.00 , 3.67 , 5.17 , 1.00 , 3.33 ,37.5%
21479139,Female,1,21,Junior,3,No,0,non-athlete,0,1, 3.8 ,25, 5.00 , 4.20 , 2.20 , 5.00 , 51.00 , 5.17 , 5.60 , 1.00 , 3.00 ,37.5%
21467787,Female,1,24,Post-bac,5,No,0,non-athlete,0,1, 3.7 ,30, 5.50 , 3.50 , 2.20 , 2.86 , 50.00 , 5.83 , 6.33 , 1.00 , 3.33 ,37.5%
21450542,Female,1,21,Senior,4,No,0,non-athlete,0,3, 3.4 ,29, 5.50 , 2.50 , 2.20 , 4.57 , 43.00 , 4.00 , 6.33 , 1.00 , 3.33 ,37.5%
21497632,Female,1,23,Post-bac,5,Yes,1,non-athlete,0,3, 3.8 ,28, 3.75 , 3.10 , 3.10 , 4.14 , 39.00 , 6.83 , 5.67 , 3.50 , 3.67 ,37.5%
21419517,Female,1,19,First-year,1,No,0,non-athlete,0,3, 3.9 ,22, 3.50 , 2.56 , 3.70 , 2.43 , 27.00 , 3.00 , 5.50 , 1.00 , 3.67 ,37.5%
21399526,Female,1,19,First-year,1,No,0,non-athlete,0,4, 3.9 ,24, 2.00 , 2.90 , 3.10 , 1.00 , 26.00 , 5.17 , 2.83 , 2.50 , 3.67 ,37.5%
21450550,Female,1,21,Senior,4,No,0,non-athlete,0,2, 3.4 ,27, 4.00 , 3.40 , 2.22 , 4.86 , 24.00 , 7.00 , 7.00 , 7.00 , 5.00 ,37.5%
21481269,Female,1,18,First-year,1,No,0,In season,1,4, 3.8 ,21, 5.25 , 4.00 , 2.10 , 3.71 , 24.00 , 5.17 , 6.83 , 1.00 , 3.67 ,37.5%
21468585,Female,1,21,Junior,3,No,0,non-athlete,0,3, 3.4 ,25, 3.00 , 2.90 , 3.10 , 4.14 , 19.50 , 5.83 , 6.50 , 1.00 , 4.00 ,37.5%
21466327,Female,1,20,Junior,3,No,0,non-athlete,0,4, 3.4 ,25, 3.50 , 3.50 , 3.90 , 1.71 , 17.00 , 3.67 , 5.33 , 5.50 , 4.33 ,37.5%
21466378,Female,1,21,Junior,3,No,0,non-athlete,0,4, 3.7 ,24, 4.50 , 2.80 , 1.50 , 4.71 , 15.00 , 4.83 , 5.50 , 1.50 , 4.67 ,37.5%
21514526,Female,1,21,Senior,4,No,0,non-athlete,0,2, 2.3 ,18, 4.25 , 3.20 , 3.10 , 3.29 , 15.00 , 3.67 , 5.33 , 4.00 , 4.00 ,37.5%
21464725,Female,1,19,First-year,1,No,0,non-athlete,0,3,,28, 3.25 , 3.70 , 2.00 , 4.57 , 10.00 , 4.67 , 6.67 , 1.00 , 4.00 ,37.5%
21499045,Female,1,22,Senior,4,No,0,non-athlete,0,1, 2.8 ,21, 4.75 , 4.00 , 3.50 , 3.86 , 7.00 , 5.33 , 7.00 , 1.00 , 2.33 ,37.5%
21420677,Female,1,20,Sophomore,2,No,0,non-athlete,0,4, 4.0 ,33, 6.75 , 3.50 , 1.80 , 3.71 , 7.00 , 6.67 , 6.67 , 1.00 , 3.67 ,37.5%
21457029,Female,1,19,First-year,1,No,0,non-athlete,0,2, 3.1 ,23, 4.50 , 4.00 , 2.30 , 4.00 , 7.00 , 6.00 , 6.50 , 3.50 , 4.00 ,37.5%
21477745,Female,1,24,Senior,4,Yes,1,non-athlete,0,1, 3.1 ,15, 2.50 , 2.80 , 3.00 , 2.43 , 5.00 , 4.67 , 5.40 , 1.00 , 4.00 ,37.5%
21423523,Female,1,21,Junior,3,No,0,non-athlete,0,2, 3.2 ,34, 3.50 , 4.30 , 1.20 , 3.86 , 5.00 , 5.67 , 6.00 , 1.00 , 4.00 ,37.5%
21442551,Female,1,20,Sophomore,2,No,0,non-athlete,0,3, 3.0 ,25, 6.33 , 2.70 , 2.00 , 1.43 , 5.00 , 5.83 , 6.83 , 1.00 , 3.67 ,37.5%
21466480,Female,1,20,Sophomore,2,No,0,non-athlete,0,3, 3.3 ,22, 2.75 , 2.40 , 3.10 , 2.57 , 5.00 , 2.50 , 6.00 , 2.00 , 4.00 ,37.5%
21422209,Female,1,18,First-year,1,No,0,non-athlete,0,, 3.0 ,25, 5.50 , 2.50 , 3.30 , 3.00 , 5.00 , 4.67 , 4.83 , 1.00 , 3.33 ,37.5%
21425787,Female,1,20,Sophomore,2,No,0,non-athlete,0,2, 3.5 ,30, 5.25 , 3.30 , 2.30 , 3.86 , 4.00 , 5.67 , 5.67 , 1.50 , 3.00 ,37.5%
21467220,Female,1,18,First-year,1,No,0,non-athlete,0,1, 2.0 ,22, 4.25 , 2.10 , 3.50 , 2.14 , 4.00 , 6.33 , 6.67 , 1.00 , 4.33 ,37.5%
21478869,Female,1,18,First-year,1,No,0,non-athlete,0,3, 4.0 ,31, 6.25 , 3.70 , 1.80 , 2.57 , 4.00 , 5.33 , 5.17 , 1.50 , 4.33 ,37.5%
21466874,Female,1,26,Post-bac,5,No,0,non-athlete,0,3, 3.5 ,, 2.00 , 3.10 , 2.00 , 3.86 , 3.00 , 3.67 , 6.17 , 2.00 , 3.33 ,37.5%
21500793,Female,1,25,Post-bac,5,Yes,1,non-athlete,0,3, 3.8 ,28, 6.00 , 2.20 , 1.00 , 4.29 , 3.00 , 3.33 , 6.50 , 1.00 , 3.00 ,37.5%
21514432,Female,1,41,Post-bac,5,No,0,non-athlete,0,3, 3.9 ,, 5.00 , 3.60 , 1.60 , 3.29 , 2.00 , 3.83 , 4.83 , 1.00 , 3.33 ,37.5%
21491771,Female,1,23,Senior,4,No,0,non-athlete,0,3, 3.2 ,20, 4.50 , 4.10 , 1.90 , 4.29 , 2.00 , 4.00 , 5.17 , 1.00 , 5.00 ,37.5%
21455059,Female,1,20,Sophomore,2,No,0,non-athlete,0,3, 3.8 ,24, 3.75 , 3.10 , 2.70 , 4.86 , 2.00 , 4.00 , 6.50 , 1.00 , 2.67 ,37.5%
21470686,Female,1,20,Junior,3,No,0,non-athlete,0,4, 3.7 ,25, 6.25 , 2.40 , 1.70 , 3.29 , 2.00 , 4.00 , 5.17 , 1.00 , 3.33 ,37.5%
21467505,Female,1,21,Junior,3,No,0,non-athlete,0,2, 3.4 ,23, 5.75 , 3.40 , 1.60 , 3.57 , 1.00 , 5.33 , 6.00 , 1.00 , 3.33 ,37.5%
21473592,Female,1,21,Senior,4,No,0,non-athlete,0,2, 2.8 ,20, 4.25 , 3.50 , 1.40 , 2.83 , 1.00 , 2.60 , 4.50 , 1.00 , 2.67 ,37.5%
21483825,Male,2,46,Post-bac,5,No,0,non-athlete,0,5, 3.9 ,27, 1.00 , 2.60 , 3.60 , 4.86 , -   , 4.67 , 6.00 , 2.00 , 3.00 ,37.5%
21418438,Male,2,22,Senior,4,No,0,non-athlete,0,3, 3.3 ,22, 5.75 , 4.30 , 2.00 , 3.14 , -   , 6.33 , 5.50 , 2.00 , 4.67 ,37.5%
21466489,Female,1,22,Senior,4,No,0,non-athlete,0,4, 3.1 ,31, 5.00 , 2.60 , 2.40 , 3.86 , -   , 5.33 , 4.50 , 3.00 , 3.33 ,37.5%
21455894,Female,1,21,Senior,4,Yes,1,non-athlete,0,1, 3.0 ,26, 3.25 , 2.30 , 2.00 , 3.33 , -   , 5.00 , 6.50 , 1.00 , 3.67 ,37.5%
21466705,Male,2,21,Junior,3,No,0,non-athlete,0,1, 2.8 ,20, 1.75 , 3.30 , 3.67 , 2.86 , -   , 4.33 , 4.67 , 4.00 , 3.33 ,37.5%
21468786,Female,1,21,Junior,3,No,0,non-athlete,0,2, 2.8 ,23, 3.25 , 1.90 , 1.80 , 3.29 , -   , 3.67 , 6.67 , 4.00 , 3.67 ,37.5%
21468924,Female,1,20,Junior,3,No,0,non-athlete,0,4, 3.8 ,24, 3.75 , 2.40 , 1.70 , 3.14 , -   , 4.33 , 7.00 , 1.00 , 3.00 ,37.5%
21468426,Male,2,19,Sophomore,2,No,0,non-athlete,0,4, 3.0 ,, 7.00 , 4.70 , 1.60 , 4.71 , -   , 6.33 , 3.50 , 1.00 , 2.33 ,37.5%
21468566,Male,2,19,Sophomore,2,No,0,non-athlete,0,4, 3.0 ,23, 6.50 , 3.30 , 1.70 , 3.14 , -   , 4.67 , 3.67 , 1.00 , 3.00 ,37.5%
21442012,Female,1,21,Junior,3,No,0,non-athlete,0,3, 3.6 ,23, 5.00 , 3.90 , 1.50 , 5.00 , 25.00 , 2.33 , 5.50 , 1.00 , 3.67 ,33.3%
21442435,Male,2,19,Sophomore,2,No,0,Out of season,1,2, 3.7 ,26, 6.00 , 3.70 , 1.90 , 3.86 , 219.00 , 5.00 , 6.67 , 1.00 , 3.00 ,28.6%
21501325,Female,1,,First-year,1,No,0,In season,1,1, 3.0 ,18, 5.75 , 4.11 , 3.60 , 3.43 , 100.00 , 2.33 , 6.50 , 1.00 , 3.67 ,28.6%
21415864,Male,2,19,Sophomore,2,No,0,non-athlete,0,3, 2.9 ,28, 5.25 , 3.50 , 2.44 , 3.14 , 97.00 , 2.67 , 6.00 , 6.00 , 3.00 ,28.6%
21467034,Female,1,22,Senior,4,No,0,non-athlete,0,2, 3.0 ,19, 5.50 , 4.00 , 4.00 , 4.14 , 76.50 , 6.50 , 6.67 , 2.00 , 4.00 ,28.6%
21449551,Female,1,20,Sophomore,2,No,0,non-athlete,0,3, 3.2 ,19, 5.25 , 4.50 , 3.10 , 4.29 , 50.00 , 5.83 , 6.33 , 1.00 , 3.67 ,28.6%
