SessionID,Location,Location_Code,Gender,Gender_Code,IAT_Score,,SessionID,Location,Location_Code,Gender,Gender_Code,IAT_Score
2454068,ithaca,1,female,1,0.39,,2443887,sdsu,2,female,1,0.89
2454073,ithaca,1,female,1,0.97,,2445906,sdsu,2,male,2,0.75
2454074,ithaca,1,male,2,-0.73,,2445908,sdsu,2,female,1,1.28
2454076,ithaca,1,female,1,-0.58,,2445912,sdsu,2,female,1,0.58
2454080,ithaca,1,male,2,0.72,,2445951,sdsu,2,female,1,0.05
2454084,ithaca,1,female,1,0.85,,2446069,sdsu,2,male,2,-0.06
2454088,ithaca,1,male,2,0.33,,2446072,sdsu,2,female,1,1.22
2454089,ithaca,1,female,1,0.27,,2446074,sdsu,2,male,2,0.48
2454090,ithaca,1,female,1,0.35,,2446076,sdsu,2,female,1,-0.64
2454460,ithaca,1,female,1,0.33,,2447580,sdsu,2,female,1,1.08
2454461,ithaca,1,female,1,0.66,,2447581,sdsu,2,female,1,0.31
2454494,ithaca,1,male,2,-0.48,,2447582,sdsu,2,male,2,0.13
2454600,ithaca,1,female,1,0.49,,2447591,sdsu,2,female,1,0.08
2456447,ithaca,1,female,1,-0.04,,2447692,sdsu,2,female,1,0.79
2456450,ithaca,1,female,1,-0.35,,2447693,sdsu,2,female,1,0.5
2456456,ithaca,1,female,1,0.21,,2447744,sdsu,2,female,1,-0.08
2456459,ithaca,1,female,1,0.09,,2447904,sdsu,2,male,2,-0.74
2456460,ithaca,1,female,1,0.26,,2447907,sdsu,2,female,1,0.09
2456463,ithaca,1,female,1,1.08,,2448199,sdsu,2,male,2,0.85
2456625,ithaca,1,female,1,0.88,,2448202,sdsu,2,female,1,0.65
2456811,ithaca,1,female,1,0.62,,2448203,sdsu,2,female,1,0.79
2456933,ithaca,1,female,1,0.52,,2448352,sdsu,2,male,2,-0.38
2456936,ithaca,1,female,1,0.88,,2448354,sdsu,2,male,2,-0.59
2465685,ithaca,1,female,1,0.66,,2448355,sdsu,2,female,1,0.98
2465686,ithaca,1,female,1,0.67,,2448359,sdsu,2,female,1,-0.3
2465689,ithaca,1,female,1,0.5,,2448429,sdsu,2,female,1,0.81
2465799,ithaca,1,female,1,1.16,,2448433,sdsu,2,female,1,1.2
2465800,ithaca,1,female,1,1.26,,2452411,sdsu,2,female,1,0.99
2465802,ithaca,1,female,1,0.36,,2452413,sdsu,2,male,2,0.83
2465803,ithaca,1,female,1,0.94,,2452422,sdsu,2,female,1,0.67
2465808,ithaca,1,male,2,-0.32,,2452479,sdsu,2,female,1,0.75
2467455,ithaca,1,female,1,0.33,,2452480,sdsu,2,female,1,1.15
2467466,ithaca,1,female,1,0.48,,2452481,sdsu,2,female,1,1
2467471,ithaca,1,female,1,0.6,,2452747,sdsu,2,male,2,0.6
2467477,ithaca,1,female,1,1.03,,2452749,sdsu,2,male,2,0.35
2467622,ithaca,1,male,2,0.32,,2452750,sdsu,2,female,1,0.81
2467625,ithaca,1,female,1,0.89,,2452842,sdsu,2,female,1,0.18
2467630,ithaca,1,female,1,0.28,,2452844,sdsu,2,female,1,0.27
2467632,ithaca,1,male,2,0.74,,2452845,sdsu,2,female,1,-0.11
2467930,ithaca,1,male,2,0.35,,2452849,sdsu,2,female,1,-1
2467935,ithaca,1,female,1,0.46,,2452928,sdsu,2,female,1,0.87
2467937,ithaca,1,male,2,1,,2452930,sdsu,2,male,2,0.58
2468023,ithaca,1,female,1,1.19,,2452932,sdsu,2,female,1,1.06
2468025,ithaca,1,male,2,0.88,,2454751,sdsu,2,female,1,-0.64
2469961,ithaca,1,male,2,-0.21,,2454752,sdsu,2,male,2,-0.07
2470134,ithaca,1,male,2,-0.36,,2454753,sdsu,2,female,1,0.62
2470138,ithaca,1,female,1,0.61,,2455017,sdsu,2,female,1,-0.2
2470304,ithaca,1,female,1,1,,2455019,sdsu,2,female,1,0.08
2470307,ithaca,1,male,2,0.69,,2455106,sdsu,2,female,1,-0.43
2470311,ithaca,1,female,1,0.68,,2455109,sdsu,2,female,1,0.54
2477383,ithaca,1,female,1,0.87,,2455110,sdsu,2,female,1,1.01
2477497,ithaca,1,female,1,1.03,,2455111,sdsu,2,female,1,0.34
2477498,ithaca,1,female,1,1.05,,2456774,sdsu,2,female,1,0.53
2477501,ithaca,1,female,1,0.62,,2456780,sdsu,2,female,1,0.86
2477502,ithaca,1,female,1,0.68,,2456782,sdsu,2,female,1,0.08
2477504,ithaca,1,male,2,0.32,,2456795,sdsu,2,female,1,0.69
2477506,ithaca,1,female,1,0.54,,2456913,sdsu,2,female,1,0.55
2477509,ithaca,1,female,1,1.12,,2456914,sdsu,2,female,1,0.18
2477515,ithaca,1,female,1,0.95,,2456915,sdsu,2,female,1,0.8
2477516,ithaca,1,female,1,0.71,,2456917,sdsu,2,female,1,0.56
,,,,,,,2457081,sdsu,2,female,1,1.16
,,,,,,,2457083,sdsu,2,male,2,0.16
,,,,,,,2457192,sdsu,2,female,1,1.1
,,,,,,,2457193,sdsu,2,male,2,-0.27
,,,,,,,2457195,sdsu,2,female,1,0.97
,,,,,,,2457197,sdsu,2,female,1,-0.45
,,,,,,,2457342,sdsu,2,female,1,0.89
,,,,,,,2457345,sdsu,2,female,1,0.36
,,,,,,,2457348,sdsu,2,male,2,0.4
,,,,,,,2457350,sdsu,2,female,1,-0.03
,,,,,,,2458806,sdsu,2,female,1,0.16
,,,,,,,2458808,sdsu,2,female,1,0.83
,,,,,,,2458811,sdsu,2,female,1,0.35
,,,,,,,2458812,sdsu,2,male,2,-0.91
,,,,,,,2458913,sdsu,2,female,1,1.41
,,,,,,,2458914,sdsu,2,female,1,0.04
,,,,,,,2458915,sdsu,2,male,2,0.44
,,,,,,,2458916,sdsu,2,female,1,-0.66
,,,,,,,2461397,sdsu,2,male,2,0.23
,,,,,,,2461398,sdsu,2,female,1,0.89
,,,,,,,2461402,sdsu,2,female,1,0.8
,,,,,,,2461621,sdsu,2,female,1,0.8
,,,,,,,2461625,sdsu,2,female,1,1.05
,,,,,,,2461629,sdsu,2,male,2,0.08
,,,,,,,2461892,sdsu,2,female,1,-0.93
,,,,,,,2461893,sdsu,2,female,1,0.77
,,,,,,,2461894,sdsu,2,female,1,0.88
,,,,,,,2461895,sdsu,2,female,1,0.07
,,,,,,,2462430,sdsu,2,female,1,1.04
,,,,,,,2462431,sdsu,2,male,2,-0.14
,,,,,,,2462432,sdsu,2,female,1,-0.11
,,,,,,,2462434,sdsu,2,male,2,0.89
,,,,,,,2462501,sdsu,2,female,1,-0.98
,,,,,,,2462503,sdsu,2,female,1,0.3
,,,,,,,2462505,sdsu,2,female,1,0.92
,,,,,,,2462572,sdsu,2,female,1,0.47
,,,,,,,2462573,sdsu,2,female,1,0.79
,,,,,,,2462574,sdsu,2,female,1,0.3
,,,,,,,2462575,sdsu,2,male,2,-0.54
,,,,,,,2466137,sdsu,2,female,1,0.76
,,,,,,,2466138,sdsu,2,female,1,-0.28
,,,,,,,2466142,sdsu,2,male,2,-0.02
,,,,,,,2466152,sdsu,2,female,1,0.29
,,,,,,,2466236,sdsu,2,female,1,0.84
,,,,,,,2466240,sdsu,2,male,2,0.62
,,,,,,,2466241,sdsu,2,male,2,-0.24
,,,,,,,2466441,sdsu,2,female,1,0.76
,,,,,,,2466442,sdsu,2,female,1,0.76
,,,,,,,2466547,sdsu,2,female,1,-0.86
,,,,,,,2466548,sdsu,2,male,2,0.5
,,,,,,,2466549,sdsu,2,male,2,0.02
,,,,,,,2466635,sdsu,2,female,1,1.36
,,,,,,,2466638,sdsu,2,male,2,0.46
,,,,,,,2468204,sdsu,2,female,1,0.18
,,,,,,,2468205,sdsu,2,male,2,0.63
,,,,,,,2468206,sdsu,2,female,1,0.46
,,,,,,,2468345,sdsu,2,female,1,0.58
,,,,,,,2468347,sdsu,2,female,1,1.02
,,,,,,,2468348,sdsu,2,female,1,0.67
,,,,,,,2468350,sdsu,2,female,1,0.65
,,,,,,,2468450,sdsu,2,female,1,-0.1
,,,,,,,2468451,sdsu,2,female,1,1.11
,,,,,,,2468454,sdsu,2,male,2,0.97
,,,,,,,2468534,sdsu,2,female,1,0.52
,,,,,,,2468536,sdsu,2,female,1,-0.11
,,,,,,,2468538,sdsu,2,female,1,0.64
,,,,,,,2468539,sdsu,2,female,1,1.04
